상품명,적립 포인트,매장명,상품명_mod
 수실류-은행,10, 로컬푸드 직매장, 수실류은행
 수실류-호두,10, 로컬푸드 직매장, 수실류호두
 수실류-대추,10, 로컬푸드 직매장, 수실류대추
 수실류-밤,10, 로컬푸드 직매장, 수실류밤
 과실류-기타,10, 로컬푸드 직매장, 과실류기타
 과실류-구아바,10, 로컬푸드 직매장, 과실류구아바
 과실류-체리자두,10, 로컬푸드 직매장, 과실류체리자두
 과실류-플루오트,10, 로컬푸드 직매장, 과실류플루오트
 과실류-플럼코트,10, 로컬푸드 직매장, 과실류플럼코트
 과실류-하스카프,10, 로컬푸드 직매장, 과실류하스카프
 과실류-블랙커런트,10, 로컬푸드 직매장, 과실류블랙커런트
 과실류-블랙베리,10, 로컬푸드 직매장, 과실류블랙베리
 과실류-아로니아,10, 로컬푸드 직매장, 과실류아로니아
 과실류-블루베리,10, 로컬푸드 직매장, 과실류블루베리
 과실류-체리,10, 로컬푸드 직매장, 과실류체리
 과실류-포포,10, 로컬푸드 직매장, 과실류포포
 과실류-비파,10, 로컬푸드 직매장, 과실류비파
 과실류-보리수,10, 로컬푸드 직매장, 과실류보리수
 과일과채류-메론,10, 로컬푸드 직매장, 과일과채류메론
 과일과채류-방울토마토,10, 로컬푸드 직매장, 과일과채류방울토마토
 과채류-오이,10, 로컬푸드 직매장, 과채류오이
 엽경채류-고추잎,10, 로컬푸드 직매장, 엽경채류고추잎
 엽경채류-머위대,10, 로컬푸드 직매장, 엽경채류머위대
 엽경채류-토란대,10, 로컬푸드 직매장, 엽경채류토란대
 엽경채류-고들빼기,10, 로컬푸드 직매장, 엽경채류고들빼기
 엽경채류-비름,10, 로컬푸드 직매장, 엽경채류비름
 엽경채류-달래,10, 로컬푸드 직매장, 엽경채류달래
 엽경채류-고구마순,10, 로컬푸드 직매장, 엽경채류고구마순
 엽경채류-냉이,10, 로컬푸드 직매장, 엽경채류냉이
 엽경채류-숙주나물,10, 로컬푸드 직매장, 엽경채류숙주나물
 엽경채류-콩나물,10, 로컬푸드 직매장, 엽경채류콩나물
 엽경채류-아욱,10, 로컬푸드 직매장, 엽경채류아욱
 새콤한 딸기 요거트 큐브 16g,240, 이마트, 새콤한 딸기 요거트 큐브 
 유기농 플레인 요거트 큐브16g,240, 이마트, 유기농 플레인 요거트 큐브
 유기농 망고 바나나 요거트 큐브16g,240, 이마트, 유기농 망고 바나나 요거트 큐브
 유기농 시금치통통 40g,240, 이마트, 유기농 시금치통통 
 유기농 아로니아통통 40g,240, 이마트, 유기농 아로니아통통 
 유기농 바나나통통 40g,240, 이마트, 유기농 바나나통통 
 유기농 블루베리통통 40g,240, 이마트, 유기농 블루베리통통 
 유기농 퍼프 포도야 25g,120, 이마트, 유기농 퍼프 포도야 
 유기농 퍼프 망고야 25g,120, 이마트, 유기농 퍼프 망고야 
 유기농 퍼프 딸기야 25g,120, 이마트, 유기농 퍼프 딸기야 
 유기농 퍼프 사과야 25g,120, 이마트, 유기농 퍼프 사과야 
 유기농 쌀로만든 딸기떡튀밥 30g,120, 이마트, 유기농 쌀로만든 딸기떡튀밥 
 유기농 쌀로만든 고구마떡튀밥 30g,120, 이마트, 유기농 쌀로만든 고구마떡튀밥 
 유기농 현미로 만든 단호박볼 65g,170, 이마트, 유기농 현미로 만든 단호박볼 
 유기농 현미로 만든 딸기볼 65g,170, 이마트, 유기농 현미로 만든 딸기볼 
 유기농 현미로 만든 바나나볼 65g,170, 이마트, 유기농 현미로 만든 바나나볼 
 유기농 현미로 만든 블루베리볼 65g,170, 이마트, 유기농 현미로 만든 블루베리볼 
 유기농 쌀로만든 사과떡튀밥 30g,120, 이마트, 유기농 쌀로만든 사과떡튀밥 
 유기농 쌀로만든 단호박떡튀밥 30g,120, 이마트, 유기농 쌀로만든 단호박떡튀밥 
 유기농 쌀로 만든 양파떡튀밥 30g,120, 이마트, 유기농 쌀로 만든 양파떡튀밥 
 (포장저감)파프리카(10kg/무농약),5690, 두레생협, 파프리카
 무(1kg/무농약/온라인),120, 두레생협, 무
 알타리(2kg/무농약),400, 두레생협, 알타리
 통배추(김장/3통/무농약),510, 두레생협, 통배추
 절임배추(김장/10kg/무농약),1760, 두레생협, 절임배추
 무(김장/5kg/무농약),350, 두레생협, 무
 동치미무(김장/5개/무농약),250, 두레생협, 동치미무
 알타리(김장/2kg/무농약),260, 두레생협, 알타리
 쪽파(김장/1kg/무농약),350, 두레생협, 쪽파
 갓(김장/1kg/무농약),200, 두레생협, 갓
 햇생강(400g/무농약),240, 두레생협, 햇생강
 버섯(친환경/맛타리버섯)200g/트레이/특/특품,30, 하나로마트, 버섯트레이특특품
 알로에(친환경/사포나리아)2EA/랩/특/특품,110, 하나로마트, 알로에랩특특품
 미나리(친환경/미나리)200g/봉지/특/특품,140, 하나로마트, 미나리봉지특특품
 곶감(친환경/건시)/370g/봉지/특,910, 하나로마트, 곶감봉지특
 우엉(친환경/우엉)500g/봉지/특/특품,170, 하나로마트, 우엉봉지특특품
 로메인(친환경/포기로메인)2kg/종이BOX/특/특품,900, 하나로마트, 로메인종이특특품
 트레비소(친환경/트레비소)1kg/종이BOX/특/특품,470, 하나로마트, 트레비소종이특특품
 사과(친환경)/5kg/14내/종이박스/특,2470, 하나로마트, 사과내종이박스특
 천도복숭아(친환경)/2kg/박스/특,650, 하나로마트, 천도복숭아박스특
 감귤(친환경)/800g/팩/특,480, 하나로마트, 감귤팩특
 천도복숭아(친환경)/600g/팩/특,350, 하나로마트, 천도복숭아팩특
 사과(명품선물세트/저탄소)/6kg/16과/종이BOX/특/국산,13260, 하나로마트, 사과과종이특국산
 방울토마토(친환경)/750g/팩/특,260, 하나로마트, 방울토마토팩특
 대추방울토마토(친환경)/500g/팩/특,270, 하나로마트, 대추방울토마토팩특
 토마토(친환경)/2kg/박스/특,420, 하나로마트, 토마토박스특
 블루베리(친환경)/300g/팩/특,510, 하나로마트, 블루베리팩특
 블루베리(친환경)/100g/팩/특,160, 하나로마트, 블루베리팩특
 메론(무농약)/2.4kg/2입/팩/특,780, 하나로마트, 메론입팩특
 오렌지(저탄소/한라봉)/1kg/10내/봉/특,1070, 하나로마트, 오렌지내봉특
 사과(친환경)/2.5kg/10내/박스/특,550, 하나로마트, 사과내박스특
 고추(친환경/오이맛고추)200g/봉지/특,100, 하나로마트, 고추봉지특
 건고추(아침마루/건고추)150g/봉/특,370, 울진농협 금강송지점(판매), 건고추봉특
 감자(친환경/감자)1kg/봉지/특/특품,120, 하나로마트, 감자봉지특특품
 자두(친환경)/1.2kg/팩/특,410, 하나로마트, 자두팩특
 토마토(친환경)/1kg/봉지/특/국산,370, 하나로마트, 토마토봉지특국산
 자두(친환경)/600g/11내/팩/특,420, 하나로마트, 자두내팩특
 당근(친환경/당근)1kg/봉지/특/특품,160, 하나로마트, 당근봉지특특품
